tourist_name,tourist_country,topic,reviews,visit_date,tourist_type,reviewed_place
_christiane_domen_cd,"Antwerp, Belgium",Ghost town Kolmanskop 10 km drive from LÃ¼deritz,We booked a visit to Kolmanskop. You can only visit the ghost town with a guide. Eveything was perfectly organized. First you make a tour with a guide in an international group. After that there is plenty of time to explore the place on your own. Visits 10-13h. Make sure you are on time at the gate. The guides are very passionate and make the town alive again with their stories.,23-Aug-19,Friends,Epupa Falls
_nlrdng,"Aylesbury, UK",Great experience. Perfect planning and organisation,We had a great time. The organisation of the whole 8 days (three locations) was faultless. What a staggeringly magnificent place Namibia is. It's grandeur is only matched by the hospitality of it's people. Very many thanks to Namibia Tours and Safaris for making sure things ran to plan,15-Dec-22,Friends,Okaukuejo waterhole
111Bev,"Richards Bay, South Africa",Just Amazing,"Deadvlei is definitely a highlight of Sossusvlei.  The contrasting colours are spectacular.To reach Deadvlei one needs a 4x4 vehicle to drive the last 5km's to the Deadvlei parking area.  If you don't have a 4x4, NWR offers a 4x4 return taxi service to the Deadvlei parking area for R150pp.  From the parking area, one has to walk about 1.5km's to Deadvlei.  Due to the heat in the desert, even in early winter, it is best to do Deadvlei during the morning - before midday.",29-May-17,Friends,Daan Viljoen Nature Reserve
113Sheila,"Brisbane, Australia",Very good,Wonderful place to wander around and try to imagine what it must have been like to live there. I think more should be done to try and preserve this wonderful treasure.,21-May-14,Couples,Namutoni
115arturo,"Gijon, Spain",Travel to Namibia,Namibia Tours & Safaris organized very well our first travel to Namibia. They selected for us very different lodges each one with his own charm. It was a very beautiful and interesting experience. We will repeat.,14-Oct-16,Couples,Okaukuejo waterhole
115wanderlust,"Durban, South Africa",Fascinating,We visited Kolmanskop on a day trip from Klein Aus. It's a fascinating place and well worth taking the guided tour to learn about the remarkable history of the town. It's also a great place for photography and for exploring the abandoned buildings.,25-Apr-17,Family,Spitzkoppe
123AliceK,"York, UK",Wilderness spot,Brilliant spot to camp - real wilderness. We went on a guided tour of the rock paintings which was worth viewing,11-Oct-15,Couples,Namib Desert
123AliceK,"York, UK",Guided tour of the rock engravings,"We went on a guided tour of the rock engravings. Our guide was fantastic, lively and really enthusiastic which definitely added to the experience. It was definitely worth doing.",11-Oct-15,Couples,Okaukuejo waterhole
130Jan497,"Kelowna, Canada",Roller coaster tour,"This was an exciting and informative tour with an experienced guide.  While we were not able to make it to Sandwich Harbour due to the tides, we were able to enjoy and appreciate the dunes, some wildlife, interestingly adapted flora, and salt pans.  The roller coaster dunes were heartstoppings!",1-Dec-23,Couples,Okaukuejo waterhole
132Andrea,"London, UK",Bushman engravings,"Stunning to see the engravings which are amazing to see after 6000 years. A well maintained site. Our guide from Camp Kipwe showed us around, but you can just drive up to Twyfelfontein and there are guides on hand to walk you around. Take some water as it was boiling hot when we were there, and just enjoy the hour wondering around.",27-Jan-13,Couples,Desert Explores
14DLB,"Wolverhampton, UK",early art for primary school,"hot walk to see ancient rock art which looked like it had been done by 5 year olds. Interesting tour by guide made it worthwhile, would be wasted on your own",4-Sep-16,Couples,Otjikoto Lake
15matjan,"la Bisbal d'Emporda, Spain",One of Etosha's most visited,"Close to the Okaukuejo Camp, the waterhole is a permanent waterhole, floodlit, with good chances to spot elephant and jackal, regular visited by lions and black rhinos.Bungalows quite close to the waterhole, sometimes being bit noisy.",16-Jul-18,Couples,Dune 7
169goh,singapore,Gamewatcher's Safari in cooperation with Sense of Africa,"I have previously used Gamewatcher's Safaris connections to African safari operators in my trips to East Africa.  I used them again recently and they arranged Sense of Africa to take care of me in my Tanzanian safari Trip. Gamewatcher's customer service executive Robyn handled all my safari requirements efficiently, politely and patiently answered all my enquiries.  From airport transfers to hotel accommodations to safaris, everything went like clockwork.  I highly recommend their professional services should you ever require safari travel options.  Babenka the driver and guide from Sense of Africa assigned to me was one of the best guide providing me with a wealth of information regarding Tanzania local culture and stories. I highly recommend you give Gamewatcher's Safari and Sense of Africa.",17-Sep-24,Couples,Daan Viljoen Nature Reserve
180Angie1979,"Bismarck, ND",Namibian dream,"my husband and I just got back from namibia. We want to thank Edward for setting up our vacation and responded to all of my emails. It was the perfect trip! We drove a ton and saw many new landscapes around every corner :) saw wild animals and met the himba which was the highlight of the trip. All of the lodges we stayed at were a dream, so beautiful. I loved namibia, very safe, and not crowded at all. I highly recommend soussevlei, it was the best part of the trip.",29-Jan-15,Couples,Heroes Acre
1966_IMD,Bedford,Hakuna Matata!,"Thanks to Namibia Tours our self-drive safari tour of Namibia and Botswana was the most unforgettable, adventurous, romantic, exciting and stress-free experience that surpassed all our expectations. Despite booking this trip at the very last minute Namibia Tours were able to secure us a fantastic package with visits to amazing places and great lodges. We drove over 4,500 km in three weeks without any problems, following a wonderfully detailed and well planned itinerary along the way. It's clear that this company not only have superior local expertise and knowledge and great attention to detail, but the highest of standards too. We really enjoyed meeting the friendly team in person when we stopped in Swakopmund. Can't recommend them highly enough!",30-Dec-16,Couples,Epupa Falls
197trish123,"Nottingham Road, KwaZulu-Natal, South Africa",A fascinating place to visit.,"If you are a keen photographer this is a wonderful place to find those artistic shots. I found the whole place fascinating. We didn't do the official tour, but just enjoyed discovering it for ourselves.",15-Oct-16,Friends,Daan Viljoen Nature Reserve
19Patricia42,"New York City, NY",Great Trip to Namibia,"This is not an attraction, it is a week long trip to Namibia. Four of us decided to go to Namibia after a week in  South Africa. Best idea we have had in a long time.  ATS Tours and our guide (please forgive the misspelling) Auggie were wonderful.  The hotels and lodges we stayed in couldn't have been nicer, cleaner and the beds more comfortable.  The Desert Homestead Lodge in Sesreim needs A/C which i think they will have soon.  I understand the new owner is putting in solar panels.  It's so remote  that they work off generators.  This will just make it more fabulous.  The other hotels, The Elegant Guesthouse in Windhoek, The Swakopmund Guesthouse in Swakopmund, both fabulous, great beds, great bathrooms, great breakfasts, great staffs.",30-Jan-14,Friends,Okaukuejo waterhole
1Francois1,"Durbanville, South Africa",Ghost towm to visit to see how the people of yester year stayed and the buildings they stayed in just remember if you,You will walk a lot so wear sneakers and take a warm jacket can be cold and windy remember you camera,1-Jul-15,Family,Onguma Bush Camp
1j0rge1,New York,Incredible holiday,"We spent 14 days in Namibia starting in Windhoek and visiting Sossusvlei, Swakopmund, Damaraland, Etosha, Waterberg, and Okonjima. We had a fantastic experience with Namibia Tours & Safaris. Janine was a pleasure to work with. She is very knowledgeable and helped craft an itinerary that was absolutely perfect for us. She was very patient and responsive as we tweaked the itinerary and addressed all our questions. We wanted to use a tour company inside Namibia and Namibia Tours & Safaris proved to be the right decision!Once we arrived in Namibia everything was seamless from the airport pickup, meet and greet and handover of the vehicle (Simone and Wayne were great), and every booking and reservation was as expected. I'd like to add that they manage their own fleet of cars and the Toyota Fortuner we drove was almost brand new.This was without any hesitation one of the best vacations we've ever had. I hope to go back to Namibia one day.",25-Aug-19,Family,Onguma Bush Camp
1ON1,"London, UK",Ghost Town Tour,Very interesting to visit what was once one of the richest towns in the world! Now engulfed by the Namib Desert!,30-Jan-12,Family,Epupa Falls
1plato23,"Bury St. Edmunds, UK",So so hot!,"We went at mid-day because it was a long drive to get there. We were the only couple in Dead Vlei so it was really quiet and interesting. However, the heat was too much and my wife felt very ill on the 30 minute walk back to the truck. The transport in/out for the final 4Km for those without 4wheel drive was very efficient. If you go when it is cooler I guess it will be busier!",10-Nov-13,Couples,Okaukuejo waterhole
